geography_name,total_population,median_age,median_household_income,poverty_universe,population_below_poverty,civilian_labor_force,unemployed_population,occupied_housing_units,owner_occupied_units,renter_occupied_units,median_gross_rent,median_home_value,state,county,tract,poverty_rate,unemployment_rate,homeownership_rate,rent_to_income_ratio,tract_geoid
Census Tract 1; Shelby County; Tennessee,5420.0,32.5,65236.0,5307.0,680.0,3499.0,103.0,3435.0,1172.0,2263.0,1713.0,440400.0,47,157,000100,12.81,2.94,34.12,0.315,47157000100
Census Tract 2; Shelby County; Tennessee,1100.0,29.6,23231.0,1073.0,522.0,404.0,127.0,493.0,47.0,446.0,979.0,,47,157,000200,48.65,31.44,9.53,0.506,47157000200
Census Tract 3; Shelby County; Tennessee,535.0,35.9,31146.0,535.0,137.0,196.0,16.0,243.0,154.0,89.0,1164.0,75000.0,47,157,000300,25.61,8.16,63.37,0.448,47157000300
Census Tract 4; Shelby County; Tennessee,1359.0,34.6,23370.0,1359.0,626.0,608.0,35.0,544.0,119.0,425.0,991.0,50800.0,47,157,000400,46.06,5.76,21.88,0.509,47157000400
Census Tract 6; Shelby County; Tennessee,1578.0,52.5,36696.0,1578.0,663.0,658.0,63.0,753.0,354.0,399.0,910.0,37500.0,47,157,000600,42.02,9.57,47.01,0.298,47157000600
Census Tract 7; Shelby County; Tennessee,3702.0,40.2,30519.0,3685.0,1184.0,1884.0,505.0,1983.0,773.0,1210.0,976.0,95200.0,47,157,000700,32.13,26.8,38.98,0.384,47157000700
Census Tract 8; Shelby County; Tennessee,2102.0,40.2,43125.0,2102.0,532.0,973.0,166.0,944.0,341.0,603.0,722.0,56200.0,47,157,000800,25.31,17.06,36.12,0.201,47157000800
Census Tract 9; Shelby County; Tennessee,2435.0,40.8,36958.0,2411.0,865.0,984.0,109.0,955.0,535.0,420.0,1045.0,83100.0,47,157,000900,35.88,11.08,56.02,0.339,47157000900
Census Tract 11; Shelby County; Tennessee,3602.0,23.0,25667.0,3602.0,1311.0,1335.0,183.0,1072.0,436.0,636.0,1226.0,60200.0,47,157,001100,36.4,13.71,40.67,0.573,47157001100
Census Tract 12; Shelby County; Tennessee,4215.0,28.3,49801.0,3910.0,1232.0,1669.0,148.0,1224.0,533.0,691.0,1112.0,92400.0,47,157,001200,31.51,8.87,43.55,0.268,47157001200
Census Tract 13; Shelby County; Tennessee,4247.0,20.1,45833.0,4203.0,1677.0,1316.0,145.0,1118.0,439.0,679.0,965.0,68600.0,47,157,001300,39.9,11.02,39.27,0.253,47157001300
Census Tract 14; Shelby County; Tennessee,1601.0,36.8,24922.0,1598.0,538.0,829.0,45.0,633.0,165.0,468.0,895.0,54300.0,47,157,001400,33.67,5.43,26.07,0.431,47157001400
Census Tract 15; Shelby County; Tennessee,1919.0,38.4,36752.0,1906.0,555.0,948.0,137.0,819.0,427.0,392.0,1033.0,104200.0,47,157,001500,29.12,14.45,52.14,0.337,47157001500
Census Tract 16; Shelby County; Tennessee,3052.0,22.0,121094.0,1797.0,183.0,1718.0,117.0,839.0,698.0,141.0,1686.0,338100.0,47,157,001600,10.18,6.81,83.19,0.167,47157001600
Census Tract 17; Shelby County; Tennessee,3625.0,40.9,62520.0,3609.0,364.0,2378.0,133.0,1910.0,1123.0,787.0,1364.0,203800.0,47,157,001700,10.09,5.59,58.8,0.262,47157001700
Census Tract 19; Shelby County; Tennessee,1263.0,46.0,29653.0,1263.0,769.0,441.0,49.0,571.0,186.0,385.0,909.0,97200.0,47,157,001900,60.89,11.11,32.57,0.368,47157001900
Census Tract 20; Shelby County; Tennessee,1033.0,38.5,32093.0,1018.0,309.0,551.0,44.0,556.0,161.0,395.0,1090.0,118100.0,47,157,002000,30.35,7.99,28.96,0.408,47157002000
Census Tract 21; Shelby County; Tennessee,1533.0,32.5,31369.0,1533.0,381.0,817.0,86.0,775.0,133.0,642.0,1027.0,176400.0,47,157,002100,24.85,10.53,17.16,0.393,47157002100
Census Tract 24; Shelby County; Tennessee,2057.0,37.7,41471.0,2020.0,320.0,1176.0,106.0,954.0,264.0,690.0,1109.0,91300.0,47,157,002400,15.84,9.01,27.67,0.321,47157002400
Census Tract 25; Shelby County; Tennessee,2969.0,33.1,43852.0,2955.0,855.0,1681.0,61.0,1440.0,550.0,890.0,1080.0,301700.0,47,157,002500,28.93,3.63,38.19,0.296,47157002500
Census Tract 26; Shelby County; Tennessee,2414.0,42.9,85366.0,2411.0,226.0,1621.0,18.0,1272.0,842.0,430.0,1182.0,405700.0,47,157,002600,9.37,1.11,66.19,0.166,47157002600
Census Tract 27; Shelby County; Tennessee,1627.0,36.2,64122.0,1624.0,296.0,859.0,82.0,678.0,473.0,205.0,1148.0,252300.0,47,157,002700,18.23,9.55,69.76,0.215,47157002700
Census Tract 28; Shelby County; Tennessee,2735.0,32.7,30862.0,2735.0,1211.0,1016.0,202.0,1258.0,554.0,704.0,916.0,126100.0,47,157,002800,44.28,19.88,44.04,0.356,47157002800
Census Tract 29; Shelby County; Tennessee,4127.0,39.2,104821.0,4127.0,241.0,2434.0,18.0,2266.0,1956.0,310.0,1283.0,465700.0,47,157,002900,5.84,0.74,86.32,0.147,47157002900
Census Tract 30; Shelby County; Tennessee,2512.0,50.8,39107.0,2365.0,728.0,1190.0,52.0,1476.0,549.0,927.0,923.0,262000.0,47,157,003000,30.78,4.37,37.2,0.283,47157003000
Census Tract 31; Shelby County; Tennessee,3524.0,30.9,67792.0,3077.0,242.0,2331.0,80.0,1745.0,870.0,875.0,1194.0,291500.0,47,157,003100,7.86,3.43,49.86,0.211,47157003100
Census Tract 32; Shelby County; Tennessee,3707.0,37.1,49013.0,3272.0,466.0,2204.0,150.0,2471.0,554.0,1917.0,1125.0,286000.0,47,157,003200,14.24,6.81,22.42,0.275,47157003200
Census Tract 33; Shelby County; Tennessee,2234.0,38.9,101063.0,2234.0,101.0,1343.0,52.0,1116.0,887.0,229.0,1580.0,302200.0,47,157,003300,4.52,3.87,79.48,0.188,47157003300
Census Tract 34; Shelby County; Tennessee,2251.0,39.1,51703.0,2251.0,351.0,1731.0,117.0,1463.0,399.0,1064.0,921.0,302100.0,47,157,003400,15.59,6.76,27.27,0.214,47157003400
Census Tract 35; Shelby County; Tennessee,2937.0,42.3,100918.0,2937.0,351.0,1915.0,31.0,1571.0,789.0,782.0,1412.0,445800.0,47,157,003500,11.95,1.62,50.22,0.168,47157003500
Census Tract 36; Shelby County; Tennessee,1145.0,37.9,28150.0,1136.0,320.0,852.0,10.0,803.0,144.0,659.0,862.0,281800.0,47,157,003600,28.17,1.17,17.93,0.367,47157003600
