geography_name,total_population,median_age,median_household_income,poverty_universe,population_below_poverty,civilian_labor_force,unemployed_population,occupied_housing_units,owner_occupied_units,renter_occupied_units,median_gross_rent,median_home_value,state,county,tract
Census Tract 1; Shelby County; Tennessee,5420,32.5,65236,5307,680,3499,103,3435,1172,2263,1713,440400,47,157,000100
Census Tract 2; Shelby County; Tennessee,1100,29.6,23231,1073,522,404,127,493,47,446,979,-666666666,47,157,000200
Census Tract 3; Shelby County; Tennessee,535,35.9,31146,535,137,196,16,243,154,89,1164,75000,47,157,000300
Census Tract 4; Shelby County; Tennessee,1359,34.6,23370,1359,626,608,35,544,119,425,991,50800,47,157,000400
Census Tract 6; Shelby County; Tennessee,1578,52.5,36696,1578,663,658,63,753,354,399,910,37500,47,157,000600
Census Tract 7; Shelby County; Tennessee,3702,40.2,30519,3685,1184,1884,505,1983,773,1210,976,95200,47,157,000700
Census Tract 8; Shelby County; Tennessee,2102,40.2,43125,2102,532,973,166,944,341,603,722,56200,47,157,000800
Census Tract 9; Shelby County; Tennessee,2435,40.8,36958,2411,865,984,109,955,535,420,1045,83100,47,157,000900
Census Tract 11; Shelby County; Tennessee,3602,23.0,25667,3602,1311,1335,183,1072,436,636,1226,60200,47,157,001100
Census Tract 12; Shelby County; Tennessee,4215,28.3,49801,3910,1232,1669,148,1224,533,691,1112,92400,47,157,001200
Census Tract 13; Shelby County; Tennessee,4247,20.1,45833,4203,1677,1316,145,1118,439,679,965,68600,47,157,001300
Census Tract 14; Shelby County; Tennessee,1601,36.8,24922,1598,538,829,45,633,165,468,895,54300,47,157,001400
Census Tract 15; Shelby County; Tennessee,1919,38.4,36752,1906,555,948,137,819,427,392,1033,104200,47,157,001500
Census Tract 16; Shelby County; Tennessee,3052,22.0,121094,1797,183,1718,117,839,698,141,1686,338100,47,157,001600
Census Tract 17; Shelby County; Tennessee,3625,40.9,62520,3609,364,2378,133,1910,1123,787,1364,203800,47,157,001700
Census Tract 19; Shelby County; Tennessee,1263,46.0,29653,1263,769,441,49,571,186,385,909,97200,47,157,001900
Census Tract 20; Shelby County; Tennessee,1033,38.5,32093,1018,309,551,44,556,161,395,1090,118100,47,157,002000
Census Tract 21; Shelby County; Tennessee,1533,32.5,31369,1533,381,817,86,775,133,642,1027,176400,47,157,002100
Census Tract 24; Shelby County; Tennessee,2057,37.7,41471,2020,320,1176,106,954,264,690,1109,91300,47,157,002400
